,time,open,high,low,close,tick_volume,spread,real_volume,EMA34,EMA55,EMA84,converged,signal,signal_price
155,2022-10-24 00:00:00,3778.55,3784.87,3755.47,3758.42,8592,83,0,3693.387467291179,3686.722681220329,3689.293046971466,True,,
156,2022-10-24 04:00:00,3758.65,3776.44,3739.31,3746.64,9624,85,0,3696.4304691602542,3688.8625854624597,3690.6423870427257,True,,
157,2022-10-24 08:00:00,3747.06,3794.3,3728.91,3783.61,12858,72,0,3701.412156636811,3692.2464216959434,3692.8298602887794,True,,
158,2022-10-24 12:00:00,3783.62,3800.2,3743.88,3793.94,18418,75,0,3706.6994619718503,3695.878335206802,3695.208922399632,True,,
159,2022-10-24 16:00:00,3793.63,3813.82,3779.4,3797.39,8539,77,0,3711.8817784306016,3699.503751806559,3697.613183049052,True,,
160,2022-10-24 20:00:00,3800.2,3808.09,3798.49,3801.89,1441,86,0,3717.025105377424,3703.1604035277537,3700.0667552126038,True,,
161,2022-10-25 00:00:00,3802.11,3808.77,3787.8,3802.3,8139,82,0,3721.897956498714,3706.7011034017623,3702.472243325248,True,,
162,2022-10-25 04:00:00,3802.37,3810.32,3796.54,3801.7,7339,83,0,3726.4580732702157,3710.093921137414,3704.8070140705363,True,,
163,2022-10-25 08:00:00,3801.92,3806.0,3782.44,3788.45,7814,69,0,3730.000469083346,3712.8923525253635,3706.7750843277,True,,
164,2022-10-25 12:00:00,3788.16,3852.38,3782.94,3848.21,10719,73,0,3736.7552994214407,3717.725125649458,3710.10296469646,True,,
165,2022-10-25 16:00:00,3848.63,3866.35,3836.7,3859.6,6587,78,0,3743.7749965973585,3722.7920854476915,3713.6205419977196,True,,
166,2022-10-25 20:00:00,3833.05,3833.57,3819.87,3824.93,1761,86,0,3748.4124253632235,3726.439868110274,3716.2395880683616,True,,
167,2022-10-26 00:00:00,3825.0,3831.62,3816.63,3828.57,5748,81,0,3752.9928581996105,3730.087372820621,3718.8826565843997,True,,
168,2022-10-26 04:00:00,3828.45,3839.49,3822.65,3836.99,6835,81,0,3757.7926948739187,3733.9053237913135,3721.6616529000607,True,,
169,2022-10-26 08:00:00,3837.2,3847.09,3829.97,3834.95,9602,74,0,3762.201683738266,3737.5140622273384,3724.327261067118,True,,
170,2022-10-26 12:00:00,3834.74,3889.72,3825.2,3881.98,12963,77,0,3769.0461589532224,3742.6735600049337,3728.036737277303,True,,
171,2022-10-26 16:00:00,3881.8,3886.23,3828.55,3832.72,9311,78,0,3772.6846641558955,3745.889504290472,3730.4998728707783,True,,
172,2022-10-26 20:00:00,3843.89,3855.21,3841.64,3853.25,1472,92,0,3777.288397632701,3749.7238077086695,3733.3881111561714,True,,
173,2022-10-27 00:00:00,3852.8,3860.31,3843.2,3854.27,6396,84,0,3781.687346339404,3753.457600290503,3736.2323908936733,True,,
174,2022-10-27 04:00:00,3854.11,3859.44,3838.77,3842.04,7229,85,0,3785.1360694057234,3756.621257422985,3738.7219816961747,True,,
175,2022-10-27 08:00:00,3841.89,3851.2,3827.33,3829.83,8338,72,0,3787.690008296825,3759.2358553721638,3740.8656997739117,True,,
176,2022-10-27 12:00:00,3830.06,3862.81,3818.34,3826.37,18050,78,0,3789.9002935370063,3761.6335033945866,3742.877565661584,True,,
177,2022-10-27 16:00:00,3825.94,3840.76,3805.54,3806.27,9111,77,0,3790.835705334892,3763.2276639876372,3744.369152351899,True,,
178,2022-10-27 20:00:00,3790.78,3797.12,3785.18,3786.68,2066,88,0,3790.598236458612,3764.0652474166504,3745.364701708325,True,,
179,2022-10-28 00:00:00,3787.1,3804.28,3783.16,3795.9,7171,83,0,3790.901194375263,3765.202202866056,3746.553767550482,True,,
180,2022-10-28 04:00:00,3795.7,3797.11,3768.5,3773.51,8230,84,0,3789.907411839534,3765.4989099065538,3747.188031843412,True,,
181,2022-10-28 08:00:00,3773.92,3796.98,3770.29,3791.27,8679,71,0,3789.9852740201313,3766.41930598132,3748.225254623567,True,,
182,2022-10-28 12:00:00,3791.45,3875.61,3780.05,3870.62,14831,77,0,3794.5929726475524,3770.14075933913,3751.105130985365,True,,
183,2022-10-28 16:00:00,3870.24,3908.59,3863.2,3901.33,5779,79,0,3800.6922313534064,3774.8260893627325,3754.639833785709,True,,
184,2022-10-30 20:00:00,3897.25,3903.88,3896.51,3898.26,1732,89,0,3806.2675324189263,3779.234443314064,3758.0191318142806,True,,
185,2022-10-31 00:00:00,3898.28,3902.4,3888.53,3900.27,5383,80,0,3811.639101994988,3783.557141767133,3761.366211065709,True,,
186,2022-10-31 04:00:00,3900.24,3902.03,3889.52,3898.41,4847,83,0,3816.5974390238453,3787.659029561164,3764.5907708053396,True,,
187,2022-10-31 08:00:00,3898.77,3898.77,3876.64,3887.67,7007,73,0,3820.6587282224823,3791.2308499339797,3767.486752668743,True,,
188,2022-10-31 12:00:00,3887.95,3896.75,3865.34,3883.44,10606,76,0,3824.246229466912,3794.524033864909,3770.215064370655,True,,
189,2022-10-31 16:00:00,3883.68,3892.5,3868.08,3876.1,8883,78,0,3827.2093020688026,3797.4374612268766,3772.706474620757,True,,
190,2022-10-31 20:00:00,3879.61,3884.09,3878.16,3881.5,909,91,0,3830.311627664871,3800.4396947544883,3775.266322276739,True,,
