time,open,high,low,close,tick_volume,spread,real_volume,volume
2023-08-01 09:00:00,4583.0,4583.08,4578.16,4581.58,560,100,0,560
2023-08-01 10:00:00,4581.5,4587.41,4580.9,4587.25,412,98,0,412
2023-08-01 11:00:00,4587.49,4588.0,4579.07,4579.88,471,100,0,471
2023-08-01 12:00:00,4579.71,4581.11,4572.22,4575.03,636,99,0,636
2023-08-01 13:00:00,4574.96,4585.56,4573.22,4584.21,1179,100,0,1179
2023-08-01 14:00:00,4584.57,4588.78,4571.39,4579.32,1655,107,0,1655
2023-08-01 15:00:00,4579.82,4580.74,4574.16,4577.6,1095,107,0,1095
2023-08-01 16:00:00,4577.81,4579.59,4570.94,4579.41,745,106,0,745
2023-08-01 17:00:00,4579.59,4581.09,4575.93,4580.62,606,103,0,606
2023-08-01 18:00:00,4580.76,4585.89,4580.51,4583.18,739,102,0,739
2023-08-01 19:00:00,4583.59,4586.1,4578.25,4580.81,828,105,0,828
2023-08-01 20:00:00,4581.06,4581.07,4577.41,4578.74,293,108,0,293
2023-08-01 22:00:00,4561.02,4567.83,4559.17,4567.2,890,119,0,890
2023-08-01 23:00:00,4567.36,4568.16,4563.74,4566.74,561,104,0,561
2023-08-02 00:00:00,4566.88,4570.5,4562.07,4569.24,761,102,0,761
2023-08-02 01:00:00,4569.25,4573.74,4568.89,4571.52,677,98,0,677
2023-08-02 02:00:00,4571.92,4571.92,4560.6,4561.44,771,99,0,771
2023-08-02 03:00:00,4561.46,4563.3,4560.38,4561.36,431,102,0,431
2023-08-02 04:00:00,4561.6,4562.1,4559.1,4559.83,404,101,0,404
2023-08-02 05:00:00,4559.84,4564.55,4558.56,4561.34,742,102,0,742
2023-08-02 06:00:00,4561.28,4561.52,4555.62,4556.62,1014,99,0,1014
2023-08-02 07:00:00,4556.86,4558.29,4542.44,4542.74,1127,96,0,1127
2023-08-02 08:00:00,4542.8,4543.57,4533.4,4543.14,979,97,0,979
2023-08-02 09:00:00,4542.9,4548.8,4539.14,4547.38,801,101,0,801
2023-08-02 10:00:00,4547.15,4560.5,4546.91,4560.31,723,102,0,723
2023-08-02 11:00:00,4559.92,4564.52,4557.44,4559.16,837,100,0,837
2023-08-02 12:00:00,4559.32,4561.56,4551.12,4552.63,1039,100,0,1039
2023-08-02 13:00:00,4552.81,4552.81,4539.07,4545.89,1438,105,0,1438
2023-08-02 14:00:00,4546.13,4546.88,4520.44,4521.86,1522,108,0,1522
2023-08-02 15:00:00,4521.65,4532.27,4518.41,4518.58,1250,108,0,1250
2023-08-02 16:00:00,4518.58,4526.8,4515.18,4523.95,1142,107,0,1142
2023-08-02 17:00:00,4523.55,4529.67,4520.05,4521.07,1011,109,0,1011
2023-08-02 18:00:00,4521.24,4525.95,4518.06,4521.47,1074,109,0,1074
2023-08-02 19:00:00,4521.29,4524.35,4508.82,4517.22,1385,108,0,1385
2023-08-02 20:00:00,4517.66,4519.97,4512.99,4515.0,454,102,0,454
2023-08-02 22:00:00,4518.99,4523.73,4518.99,4523.49,482,102,0,482
2023-08-02 23:00:00,4523.49,4525.25,4523.01,4525.03,573,97,0,573
2023-08-03 00:00:00,4524.65,4526.47,4519.52,4523.78,1179,97,0,1179
2023-08-03 01:00:00,4523.55,4528.96,4522.02,4525.77,970,97,0,970
2023-08-03 02:00:00,4525.77,4526.03,4518.51,4520.52,882,97,0,882
2023-08-03 03:00:00,4520.63,4524.45,4520.02,4523.77,541,98,0,541
2023-08-03 04:00:00,4523.94,4524.01,4517.53,4518.27,514,97,0,514
2023-08-03 05:00:00,4518.11,4522.51,4515.37,4518.75,927,98,0,927
2023-08-03 06:00:00,4518.4,4519.67,4506.52,4506.52,1266,97,0,1266
2023-08-03 07:00:00,4506.56,4508.96,4491.79,4492.3,1495,100,0,1495
2023-08-03 08:00:00,4492.27,4503.94,4492.27,4499.68,1284,101,0,1284
2023-08-03 09:00:00,4499.51,4508.18,4499.51,4507.72,1010,102,0,1010
2023-08-03 10:00:00,4507.86,4511.96,4505.79,4507.5,772,100,0,772
2023-08-03 11:00:00,4507.61,4513.23,4503.27,4505.53,1132,100,0,1132
2023-08-03 12:00:00,4505.69,4507.67,4497.44,4502.46,1410,105,0,1410
2023-08-03 13:00:00,4502.46,4503.04,4489.04,4499.16,1877,103,0,1877
