,time,open,high,low,close,tick_volume,spread,real_volume
1369,2022-11-25,1755.412,1761.157,1745.984,1756.09,74190,125,0
1370,2022-11-27,1753.643,1754.367,1750.038,1750.937,1549,125,0
1371,2022-11-28,1750.921,1763.741,1739.639,1741.268,103651,125,0
1372,2022-11-29,1741.289,1758.884,1740.268,1748.921,96317,125,0
1373,2022-11-30,1748.958,1773.477,1744.72,1773.369,122024,125,0
1374,2022-12-01,1773.391,1804.477,1772.008,1802.291,122286,125,0
1375,2022-12-02,1802.321,1802.997,1778.463,1797.983,117886,125,0
1376,2022-12-04,1795.168,1799.378,1794.435,1798.983,3012,125,0
1377,2022-12-05,1799.014,1809.924,1765.794,1769.385,110073,125,0
1378,2022-12-06,1769.351,1780.872,1767.239,1770.952,94670,125,0
1379,2022-12-07,1770.956,1790.527,1768.721,1787.002,105243,125,0
1380,2022-12-08,1787.012,1794.739,1781.409,1789.244,87471,125,0
1381,2022-12-09,1789.248,1806.08,1788.503,1797.493,98080,125,0
1382,2022-12-11,1795.979,1796.672,1794.795,1794.991,2137,125,0
1383,2022-12-12,1794.975,1795.483,1777.578,1781.93,86583,125,0
1384,2022-12-13,1781.931,1824.487,1781.02,1809.625,130036,125,0
1385,2022-12-14,1809.623,1814.122,1795.898,1807.653,129124,125,0
1386,2022-12-15,1807.655,1807.855,1773.569,1776.528,120652,125,0
1387,2022-12-16,1776.493,1794.266,1774.309,1793.1,95318,125,0
1388,2022-12-18,1792.49,1793.043,1790.987,1791.054,2246,125,0
1389,2022-12-19,1791.035,1798.749,1783.82,1787.293,82183,125,0
1390,2022-12-20,1787.262,1821.058,1784.6,1817.236,125521,125,0
1391,2022-12-21,1817.206,1823.798,1811.891,1814.93,90916,125,0
1392,2022-12-22,1814.894,1820.402,1784.802,1793.478,99405,125,0
1393,2022-12-23,1793.498,1803.231,1791.178,1798.506,85412,125,0
1394,2022-12-26,1800.083,1803.456,1799.707,1801.209,1601,1222,0
1395,2022-12-27,1801.212,1833.151,1800.604,1812.391,91865,125,0
1396,2022-12-28,1812.415,1814.604,1796.983,1805.803,88176,125,0
1397,2022-12-29,1805.766,1820.183,1804.377,1815.133,81989,125,0
1398,2022-12-30,1815.145,1826.022,1813.264,1823.547,88313,125,0
1399,2023-01-02,1826.329,1830.629,1824.163,1829.288,2385,521,0
1400,2023-01-03,1829.267,1849.959,1826.809,1836.559,123211,125,0
1401,2023-01-04,1836.539,1865.124,1836.222,1854.865,124303,125,0
1402,2023-01-05,1854.831,1859.008,1824.947,1832.836,116568,125,0
1403,2023-01-06,1832.837,1869.821,1831.302,1866.026,119328,125,0
1404,2023-01-08,1866.774,1869.96,1866.753,1869.639,3670,125,0
1405,2023-01-09,1869.632,1881.481,1867.137,1870.525,108201,125,0
1406,2023-01-10,1870.515,1880.757,1867.827,1877.205,103765,125,0
1407,2023-01-11,1877.234,1886.614,1867.006,1876.976,100753,125,0
1408,2023-01-12,1876.972,1901.504,1873.443,1898.059,133237,125,0
1409,2023-01-13,1898.061,1921.891,1892.32,1920.288,111564,125,0
1410,2023-01-15,1919.104,1920.487,1916.881,1916.93,2928,125,0
1411,2023-01-16,1916.942,1928.988,1910.85,1917.893,69243,125,0
1412,2023-01-17,1917.92,1919.033,1903.708,1908.728,101939,125,0
1413,2023-01-18,1908.711,1925.899,1896.597,1906.856,129160,125,0
1414,2023-01-19,1906.886,1935.166,1900.987,1931.717,114677,125,0
1415,2023-01-20,1931.72,1937.458,1920.617,1925.954,97925,125,0
1416,2023-01-22,1924.28,1927.364,1924.226,1927.295,2521,125,0
1417,2023-01-23,1927.27,1935.504,1911.334,1931.362,105366,125,0
1418,2023-01-24,1931.35,1942.47,1917.037,1937.001,101115,125,0
1419,2023-01-25,1936.99,1948.777,1919.768,1948.359,107036,125,0
1420,2023-01-26,1948.384,1949.154,1918.472,1930.756,113359,125,0
1421,2023-01-27,1930.717,1935.063,1916.568,1928.302,92726,125,0
1422,2023-01-29,1926.774,1928.956,1926.445,1928.892,2431,125,0
1423,2023-01-30,1928.896,1934.462,1920.665,1922.127,96194,125,0
1424,2023-01-31,1922.159,1931.125,1900.774,1927.373,110416,125,0
1425,2023-02-01,1927.367,1956.149,1920.532,1953.081,138665,125,0
1426,2023-02-02,1953.046,1959.677,1911.249,1915.04,144425,125,0
1427,2023-02-03,1915.035,1918.552,1861.424,1865.805,152568,0,0
1428,2023-02-05,1864.207,1869.932,1863.755,1865.499,4303,125,0
1429,2023-02-06,1865.466,1881.333,1863.02,1868.513,112453,125,0
1430,2023-02-07,1868.544,1884.466,1865.009,1872.931,137566,125,0
1431,2023-02-08,1872.93,1886.38,1869.052,1875.027,102312,125,0
1432,2023-02-09,1875.021,1890.095,1858.879,1862.36,113689,125,0
1433,2023-02-10,1862.391,1872.196,1852.782,1865.352,115655,125,0
1434,2023-02-12,1864.008,1865.327,1862.671,1862.743,2215,125,0
1435,2023-02-13,1862.776,1866.57,1850.454,1854.413,92835,125,0
1436,2023-02-14,1854.417,1870.454,1843.215,1854.902,155840,125,0
1437,2023-02-15,1854.9,1860.104,1830.3,1836.398,117901,125,0
1438,2023-02-16,1836.391,1845.303,1827.517,1834.309,114967,125,0
1439,2023-02-17,1834.326,1843.584,1818.899,1842.537,107723,125,0
1440,2023-02-19,1841.2,1841.724,1838.424,1838.696,2114,125,0
